"No.","Time","Source","Destination","Protocol","Length","Info"
"7292","42.481428","5.135.215.43","11.100.87.183","RTP","182","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=649, Time=3692263926"
"7303","42.495680","11.100.87.183","5.135.215.43","RTP","150","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=562, Time=4136901253"
"7307","42.495876","11.100.87.183","5.135.215.43","RTP","159","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=563, Time=4136902213"
"7332","42.503463","5.135.215.43","11.100.87.183","RTP","159","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=650, Time=3692264886"
"7333","42.504226","5.135.215.43","11.100.87.183","RTP","163","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=651, Time=3692265846"
"7358","42.526112","11.100.87.183","5.135.215.43","RTP","164","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=564, Time=4136903173"
"7362","42.532673","5.135.215.43","11.100.87.183","RTP","154","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=652, Time=3692266806"
"7373","42.551484","5.135.215.43","11.100.87.183","RTP","161","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=653, Time=3692267766"
"7376","42.556943","11.100.87.183","5.135.215.43","RTP","163","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=565, Time=4136904133"
"7402","42.557861","11.100.87.183","5.135.215.43","RTP","151","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=566, Time=4136905093"
"7410","42.572382","5.135.215.43","11.100.87.183","RTP","161","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=654, Time=3692268726"
"7418","42.586907","11.100.87.183","5.135.215.43","RTP","163","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=567, Time=4136906053"
"7446","42.603379","5.135.215.43","11.100.87.183","RTP","167","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=655, Time=3692269686"
"7455","42.615712","11.100.87.183","5.135.215.43","RTP","153","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=568, Time=4136907013"
"7464","42.616254","11.100.87.183","5.135.215.43","RTP","155","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=569, Time=4136907973"
"7467","42.619789","5.135.215.43","11.100.87.183","RTP","169","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=656, Time=3692270646"
"7478","42.640475","5.135.215.43","11.100.87.183","RTP","171","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=657, Time=3692271606"
"7482","42.645399","11.100.87.183","5.135.215.43","RTP","145","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=570, Time=4136908933"
"7496","42.645900","11.100.87.183","5.135.215.43","RTP","143","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=571, Time=4136909893"
"7518","42.672321","5.135.215.43","11.100.87.183","RTP","167","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=658, Time=3692272566"
"7519","42.672321","5.135.215.43","11.100.87.183","RTP","166","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=659, Time=3692273526"
"7522","42.675749","11.100.87.183","5.135.215.43","RTP","151","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=572, Time=4136910853"
"7546","42.690456","5.135.215.43","11.100.87.183","RTP","170","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=660, Time=3692274486"
"7547","42.691773","11.100.87.183","5.135.215.43","RTP","151","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=573, Time=4136911813"
"7559","42.711658","5.135.215.43","11.100.87.183","RTP","158","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=661, Time=3692275446"
"7578","42.723295","11.100.87.183","5.135.215.43","RTP","149","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=574, Time=4136912773"
"7579","42.723325","11.100.87.183","5.135.215.43","RTP","150","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=575, Time=4136913733"
"7584","42.732094","5.135.215.43","11.100.87.183","RTP","159","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=662, Time=3692276406"
"7610","42.754317","11.100.87.183","5.135.215.43","RTP","163","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=576, Time=4136914693"
"7614","42.761284","5.135.215.43","11.100.87.183","RTP","167","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=663, Time=3692277366"
"7626","42.781980","5.135.215.43","11.100.87.183","RTP","166","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=664, Time=3692278326"
"7627","42.783705","11.100.87.183","5.135.215.43","RTP","168","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=577, Time=4136915653"
"7653","42.803883","5.135.215.43","11.100.87.183","RTP","149","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=665, Time=3692279286"
"7654","42.804631","5.135.215.43","11.100.87.183","RTP","141","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=666, Time=3692280246"
"7661","42.812236","11.100.87.183","5.135.215.43","RTP","150","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=578, Time=4136916613"
"7676","42.812786","11.100.87.183","5.135.215.43","RTP","153","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=579, Time=4136917573"
"7692","42.830201","5.135.215.43","11.100.87.183","RTP","135","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=667, Time=3692281206"
"7699","42.841875","11.100.87.183","5.135.215.43","RTP","156","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=580, Time=4136918533"
"7719","42.849862","5.135.215.43","11.100.87.183","RTP","130","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=668, Time=3692282166"
"7729","42.871382","11.100.87.183","5.135.215.43","RTP","154","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=581, Time=4136919493"
"7730","42.871499","11.100.87.183","5.135.215.43","RTP","140","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=582, Time=4136920453"
"7756","42.891078","5.135.215.43","11.100.87.183","RTP","125","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=670, Time=3692284086"
"7763","42.899764","11.100.87.183","5.135.215.43","RTP","143","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=583, Time=4136921413"
"7781","42.921223","5.135.215.43","11.100.87.183","RTP","124","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=671, Time=3692285046"
"7790","42.929862","11.100.87.183","5.135.215.43","RTP","138","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=584, Time=4136922373"
"7808","42.931153","11.100.87.183","5.135.215.43","RTP","144","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=585, Time=4136923333"
"7813","42.942465","5.135.215.43","11.100.87.183","RTP","121","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=672, Time=3692286006"
"7838","42.973049","5.135.215.43","11.100.87.183","RTP","124","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=673, Time=3692286966"
"7839","42.973049","5.135.215.43","11.100.87.183","RTP","130","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=674, Time=3692287926"
"7845","42.974155","11.100.87.183","5.135.215.43","RTP","131","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=586, Time=4136924293"
"7846","42.974257","11.100.87.183","5.135.215.43","RTP","131","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=587, Time=4136925253"
"7866","42.998026","5.135.215.43","11.100.87.183","RTP","140","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=675, Time=3692288886"
"7872","43.004630","11.100.87.183","5.135.215.43","RTP","122","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=588, Time=4136926213"
"7895","43.011711","5.135.215.43","11.100.87.183","RTP","135","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=676, Time=3692289846"
"7908","43.033535","5.135.215.43","11.100.87.183","RTP","136","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=677, Time=3692290806"
"7909","43.035158","11.100.87.183","5.135.215.43","RTP","124","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=589, Time=4136927173"
"7910","43.035328","11.100.87.183","5.135.215.43","RTP","121","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=590, Time=4136928133"
"7930","43.053653","5.135.215.43","11.100.87.183","RTP","127","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=678, Time=3692291766"
"7938","43.066729","11.100.87.183","5.135.215.43","RTP","115","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=591, Time=4136929093"
"7965","43.081294","5.135.215.43","11.100.87.183","RTP","135","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=679, Time=3692292726"
"7972","43.097938","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=592, Time=4136930053"
"7984","43.098401","11.100.87.183","5.135.215.43","RTP","106","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=593, Time=4136931013"
"7987","43.100990","5.135.215.43","11.100.87.183","RTP","128","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=680, Time=3692293686"
"8004","43.127603","11.100.87.183","5.135.215.43","RTP","107","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=594, Time=4136931973"
"8019","43.128056","11.100.87.183","5.135.215.43","RTP","108","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=595, Time=4136932933"
"8022","43.132606","5.135.215.43","11.100.87.183","RTP","121","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=681, Time=3692294646"
"8023","43.132606","5.135.215.43","11.100.87.183","RTP","126","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=682, Time=3692295606"
"8033","43.150318","5.135.215.43","11.100.87.183","RTP","129","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=683, Time=3692296566"
"8054","43.158286","11.100.87.183","5.135.215.43","RTP","112","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=596, Time=4136933893"
"8062","43.171898","5.135.215.43","11.100.87.183","RTP","127","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=684, Time=3692297526"
"8074","43.187735","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=597, Time=4136934853"
"8097","43.191709","5.135.215.43","11.100.87.183","RTP","126","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=685, Time=3692298486"
"8110","43.215665","11.100.87.183","5.135.215.43","RTP","115","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=598, Time=4136935813"
"8111","43.215770","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=599, Time=4136936773"
"8121","43.220556","5.135.215.43","11.100.87.183","RTP","126","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=686, Time=3692299446"
"8132","43.240712","5.135.215.43","11.100.87.183","RTP","126","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=687, Time=3692300406"
"8135","43.244365","11.100.87.183","5.135.215.43","RTP","110","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=600, Time=4136937733"
"8158","43.257951","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=601, Time=4136938693"
"8161","43.261818","5.135.215.43","11.100.87.183","RTP","122","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=688, Time=3692301366"
"8162","43.263298","5.135.215.43","11.100.87.183","RTP","125","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=689, Time=3692302326"
"8175","43.287579","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=602, Time=4136939653"
"8192","43.288195","11.100.87.183","5.135.215.43","RTP","111","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=603, Time=4136940613"
"8201","43.291095","5.135.215.43","11.100.87.183","RTP","132","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=690, Time=3692303286"
"8208","43.312467","5.135.215.43","11.100.87.183","RTP","132","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=691, Time=3692304246"
"8221","43.331396","5.135.215.43","11.100.87.183","RTP","135","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=692, Time=3692305206"
"8222","43.331693","11.100.87.183","5.135.215.43","RTP","111","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=604, Time=4136941573"
"8223","43.331774","11.100.87.183","5.135.215.43","RTP","114","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=605, Time=4136942533"
"8235","43.351639","5.135.215.43","11.100.87.183","RTP","136","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=693, Time=3692306166"
"8240","43.359725","11.100.87.183","5.135.215.43","RTP","111","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=606, Time=4136943493"
"8241","43.359827","11.100.87.183","5.135.215.43","RTP","112","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=607, Time=4136944453"
"8260","43.381540","5.135.215.43","11.100.87.183","RTP","139","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=694, Time=3692307126"
"8265","43.390012","11.100.87.183","5.135.215.43","RTP","116","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=608, Time=4136945413"
"8279","43.400923","5.135.215.43","11.100.87.183","RTP","134","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=695, Time=3692308086"
"8289","43.420168","11.100.87.183","5.135.215.43","RTP","115","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=609, Time=4136946373"
"8298","43.421789","5.135.215.43","11.100.87.183","RTP","135","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=696, Time=3692309046"
"8299","43.421789","5.135.215.43","11.100.87.183","RTP","134","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=697, Time=3692310006"
"8319","43.449643","11.100.87.183","5.135.215.43","RTP","109","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=610, Time=4136947333"
"8320","43.449714","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=611, Time=4136948293"
"8329","43.451318","5.135.215.43","11.100.87.183","RTP","131","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=698, Time=3692310966"
"8340","43.470500","5.135.215.43","11.100.87.183","RTP","139","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=699, Time=3692311926"
"8347","43.480075","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=612, Time=4136949253"
"8365","43.491207","5.135.215.43","11.100.87.183","RTP","132","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=700, Time=3692312886"
"8366","43.494094","11.100.87.183","5.135.215.43","RTP","114","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=613, Time=4136950213"
"8387","43.521016","5.135.215.43","11.100.87.183","RTP","135","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=701, Time=3692313846"
"8390","43.523786","11.100.87.183","5.135.215.43","RTP","109","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=614, Time=4136951173"
"8391","43.523883","11.100.87.183","5.135.215.43","RTP","116","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=615, Time=4136952133"
"8411","43.540967","5.135.215.43","11.100.87.183","RTP","131","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=702, Time=3692314806"
"8421","43.552294","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=616, Time=4136953093"
"8426","43.561760","5.135.215.43","11.100.87.183","RTP","136","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=703, Time=3692315766"
"8446","43.582022","11.100.87.183","5.135.215.43","RTP","106","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=617, Time=4136954053"
"8457","43.592236","5.135.215.43","11.100.87.183","RTP","148","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=704, Time=3692316726"
"8458","43.593421","5.135.215.43","11.100.87.183","RTP","134","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=705, Time=3692317686"
"8468","43.611442","5.135.215.43","11.100.87.183","RTP","120","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=706, Time=3692318646"
"8470","43.612144","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=618, Time=4136955013"
"8471","43.612242","11.100.87.183","5.135.215.43","RTP","111","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=619, Time=4136955973"
"8494","43.631327","5.135.215.43","11.100.87.183","RTP","124","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=707, Time=3692319606"
"8499","43.641844","11.100.87.183","5.135.215.43","RTP","116","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=620, Time=4136956933"
"8520","43.650565","5.135.215.43","11.100.87.183","RTP","126","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=708, Time=3692320566"
"8533","43.673407","11.100.87.183","5.135.215.43","RTP","109","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=621, Time=4136957893"
"8534","43.673536","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=622, Time=4136958853"
"8553","43.683619","5.135.215.43","11.100.87.183","RTP","133","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=709, Time=3692321526"
"8563","43.700228","5.135.215.43","11.100.87.183","RTP","137","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=710, Time=3692322486"
"8566","43.704955","11.100.87.183","5.135.215.43","RTP","108","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=623, Time=4136959813"
"8584","43.723386","5.135.215.43","11.100.87.183","RTP","141","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=711, Time=3692323446"
"8585","43.723386","5.135.215.43","11.100.87.183","RTP","127","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=712, Time=3692324406"
"8598","43.735695","11.100.87.183","5.135.215.43","RTP","112","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=624, Time=4136960773"
"8599","43.735891","11.100.87.183","5.135.215.43","RTP","109","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=625, Time=4136961733"
"8619","43.751509","5.135.215.43","11.100.87.183","RTP","132","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=713, Time=3692325366"
"8626","43.765751","11.100.87.183","5.135.215.43","RTP","115","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=626, Time=4136962693"
"8627","43.765882","11.100.87.183","5.135.215.43","RTP","103","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=627, Time=4136963653"
"8643","43.770816","5.135.215.43","11.100.87.183","RTP","139","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=714, Time=3692326326"
"8648","43.791088","5.135.215.43","11.100.87.183","RTP","146","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=715, Time=3692327286"
"8649","43.794350","11.100.87.183","5.135.215.43","RTP","109","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=628, Time=4136964613"
"8677","43.821345","5.135.215.43","11.100.87.183","RTP","148","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=716, Time=3692328246"
"8681","43.823879","11.100.87.183","5.135.215.43","RTP","112","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=629, Time=4136965573"
"8694","43.840319","5.135.215.43","11.100.87.183","RTP","133","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=717, Time=3692329206"
"8702","43.853893","11.100.87.183","5.135.215.43","RTP","110","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=630, Time=4136966533"
"8703","43.853992","11.100.87.183","5.135.215.43","RTP","107","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=631, Time=4136967493"
"8712","43.859808","5.135.215.43","11.100.87.183","RTP","130","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=718, Time=3692330166"
"8718","43.882445","5.135.215.43","11.100.87.183","RTP","122","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=719, Time=3692331126"
"8719","43.882445","5.135.215.43","11.100.87.183","RTP","133","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=720, Time=3692332086"
"8720","43.887119","11.100.87.183","5.135.215.43","RTP","110","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=632, Time=4136968453"
"8744","43.910741","5.135.215.43","11.100.87.183","RTP","131","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=721, Time=3692333046"
"8746","43.915948","11.100.87.183","5.135.215.43","RTP","111","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=633, Time=4136969413"
"8747","43.916361","11.100.87.183","5.135.215.43","RTP","110","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=634, Time=4136970373"
"8760","43.931294","5.135.215.43","11.100.87.183","RTP","135","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=722, Time=3692334006"
"8764","43.945806","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=635, Time=4136971333"
"8771","43.953256","5.135.215.43","11.100.87.183","RTP","129","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=723, Time=3692334966"
"8780","43.975750","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=636, Time=4136972293"
"8782","43.975909","11.100.87.183","5.135.215.43","RTP","108","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=637, Time=4136973253"
"8790","43.980858","5.135.215.43","11.100.87.183","RTP","131","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=724, Time=3692335926"
"8796","44.002715","5.135.215.43","11.100.87.183","RTP","125","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=725, Time=3692336886"
"8806","44.005477","11.100.87.183","5.135.215.43","RTP","116","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=638, Time=4136974213"
"8808","44.005630","11.100.87.183","5.135.215.43","RTP","107","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=639, Time=4136975173"
"8814","44.022219","5.135.215.43","11.100.87.183","RTP","132","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=726, Time=3692337846"
"8825","44.035723","11.100.87.183","5.135.215.43","RTP","111","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=640, Time=4136976133"
"8831","44.042798","5.135.215.43","11.100.87.183","RTP","129","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=727, Time=3692338806"
"8832","44.042798","5.135.215.43","11.100.87.183","RTP","127","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=728, Time=3692339766"
"8834","44.049803","11.100.87.183","5.135.215.43","RTP","111","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=641, Time=4136977093"
"8847","44.070094","5.135.215.43","11.100.87.183","RTP","125","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=729, Time=3692340726"
"8856","44.080499","11.100.87.183","5.135.215.43","RTP","112","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=642, Time=4136978053"
"8857","44.080553","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=643, Time=4136979013"
"8865","44.090692","5.135.215.43","11.100.87.183","RTP","124","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=730, Time=3692341686"
"8876","44.110217","11.100.87.183","5.135.215.43","RTP","105","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=644, Time=4136979973"
"8878","44.114219","5.135.215.43","11.100.87.183","RTP","127","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=731, Time=3692342646"
"8903","44.140096","11.100.87.183","5.135.215.43","RTP","111","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=645, Time=4136980933"
"8905","44.143785","5.135.215.43","11.100.87.183","RTP","130","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=732, Time=3692343606"
"8912","44.160308","5.135.215.43","11.100.87.183","RTP","139","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=733, Time=3692344566"
"8917","44.169739","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=646, Time=4136981893"
"8923","44.170286","11.100.87.183","5.135.215.43","RTP","108","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=647, Time=4136982853"
"8930","44.184541","5.135.215.43","11.100.87.183","RTP","130","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=734, Time=3692345526"
"8931","44.184541","5.135.215.43","11.100.87.183","RTP","134","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=735, Time=3692346486"
"8942","44.199961","11.100.87.183","5.135.215.43","RTP","112","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=648, Time=4136983813"
"8948","44.211432","5.135.215.43","11.100.87.183","RTP","142","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=736, Time=3692347446"
"8952","44.229809","11.100.87.183","5.135.215.43","RTP","105","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=649, Time=4136984773"
"8954","44.229946","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=650, Time=4136985733"
"8961","44.233207","5.135.215.43","11.100.87.183","RTP","147","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=737, Time=3692348406"
"8969","44.251367","5.135.215.43","11.100.87.183","RTP","146","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=738, Time=3692349366"
"8977","44.259864","11.100.87.183","5.135.215.43","RTP","114","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=651, Time=4136986693"
"8985","44.281427","5.135.215.43","11.100.87.183","RTP","139","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=739, Time=3692350326"
"8990","44.289508","11.100.87.183","5.135.215.43","RTP","119","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=652, Time=4136987653"
"8992","44.289639","11.100.87.183","5.135.215.43","RTP","120","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=653, Time=4136988613"
"8999","44.300797","5.135.215.43","11.100.87.183","RTP","129","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=740, Time=3692351286"
