"No.","Time","Source","Destination","Protocol","Length","Info"
"934","32.941926","5.135.215.43","11.100.87.183","RTP","114","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=172, Time=3691806006"
"937","32.959311","5.135.215.43","11.100.87.183","RTP","114","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=173, Time=3691806966"
"938","32.967576","11.100.87.183","5.135.215.43","RTP","109","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=86, Time=4136444293"
"939","32.967784","11.100.87.183","5.135.215.43","RTP","111","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=87, Time=4136445253"
"941","32.981577","5.135.215.43","11.100.87.183","RTP","120","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=174, Time=3691807926"
"945","32.999486","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=88, Time=4136446213"
"951","33.013179","5.135.215.43","11.100.87.183","RTP","116","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=175, Time=3691808886"
"952","33.013179","5.135.215.43","11.100.87.183","RTP","122","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=176, Time=3691809846"
"956","33.031160","5.135.215.43","11.100.87.183","RTP","124","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=177, Time=3691810806"
"957","33.031301","11.100.87.183","5.135.215.43","RTP","114","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=89, Time=4136447173"
"959","33.031397","11.100.87.183","5.135.215.43","RTP","115","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=90, Time=4136448133"
"962","33.048829","5.135.215.43","11.100.87.183","RTP","123","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=178, Time=3691811766"
"963","33.061316","11.100.87.183","5.135.215.43","RTP","106","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=91, Time=4136449093"
"966","33.091263","11.100.87.183","5.135.215.43","RTP","111","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=92, Time=4136450053"
"967","33.091382","11.100.87.183","5.135.215.43","RTP","116","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=93, Time=4136451013"
"968","33.092411","5.135.215.43","11.100.87.183","RTP","116","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=179, Time=3691812726"
"969","33.101609","5.135.215.43","11.100.87.183","RTP","118","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=180, Time=3691813686"
"970","33.121922","5.135.215.43","11.100.87.183","RTP","122","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=181, Time=3691814646"
"973","33.122141","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=94, Time=4136451973"
"974","33.122188","11.100.87.183","5.135.215.43","RTP","108","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=95, Time=4136452933"
"976","33.142847","5.135.215.43","11.100.87.183","RTP","120","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=182, Time=3691815606"
"977","33.143613","5.135.215.43","11.100.87.183","RTP","121","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=183, Time=3691816566"
"982","33.153232","11.100.87.183","5.135.215.43","RTP","109","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=96, Time=4136453893"
"983","33.170498","5.135.215.43","11.100.87.183","RTP","116","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=184, Time=3691817526"
"985","33.183953","11.100.87.183","5.135.215.43","RTP","104","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=97, Time=4136454853"
"986","33.190957","5.135.215.43","11.100.87.183","RTP","114","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=185, Time=3691818486"
"987","33.212153","5.135.215.43","11.100.87.183","RTP","114","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=186, Time=3691819446"
"988","33.214373","11.100.87.183","5.135.215.43","RTP","110","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=98, Time=4136455813"
"990","33.214535","11.100.87.183","5.135.215.43","RTP","112","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=99, Time=4136456773"
"992","33.243919","5.135.215.43","11.100.87.183","RTP","120","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=187, Time=3691820406"
"994","33.245604","11.100.87.183","5.135.215.43","RTP","110","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=100, Time=4136457733"
